id;alive;dead;total;prop_alive;rep;worm;bac;infection;conc;bt_conc_ordered;exp;bac2
89;7;22;29;0.24137931;3;my316;MT12;BT247;25;4_247_25;exp9;MT12 (wrinkly)
89;2;18;20;0.1;1;my316;MT12;BT247;25;4_247_25;exp9;MT12 (wrinkly)
90;26;5;31;0.838709677;2;my316;OP50;BT247;25;4_247_25;exp9;OP50
90;19;4;23;0.826086957;1;my316;OP50;BT247;25;4_247_25;exp9;OP50
94;27;0;27;1;3;my316;MT12;BT407;25;1_407_25;exp9;MT12 (wrinkly)
94;28;0;28;1;1;my316;MT12;BT407;25;1_407_25;exp9;MT12 (wrinkly)
94;27;0;27;1;2;my316;MT12;BT407;25;1_407_25;exp9;MT12 (wrinkly)
96;7;13;20;0.35;1;my316;MT13;BT247;25;4_247_25;exp9;MT13 (ancestral-like, colony size variation)
96;8;24;32;0.25;3;my316;MT13;BT247;25;4_247_25;exp9;MT13 (ancestral-like, colony size variation)
96;6;11;17;0.352941176;2;my316;MT13;BT247;25;4_247_25;exp9;MT13 (ancestral-like, colony size variation)
15;21;4;25;0.84;3;my316;MT11;BT247;50;3_247_50;exp10;MT11 (ancestral-like, slightly fuzzy)
15;26;1;27;0.962962963;2;my316;MT11;BT247;50;3_247_50;exp10;MT11 (ancestral-like, slightly fuzzy)
15;26;0;26;1;1;my316;MT11;BT247;50;3_247_50;exp10;MT11 (ancestral-like, slightly fuzzy)
18;28;0;28;1;1;my316;MT14;BT407;25;1_407_25;exp10;MT14 (wrinkly)
18;38;0;38;1;3;my316;MT14;BT407;25;1_407_25;exp10;MT14 (wrinkly)
18;33;0;33;1;2;my316;MT14;BT407;25;1_407_25;exp10;MT14 (wrinkly)
20;28;0;28;1;2;my316;OP50;BT247;100;2_247_100;exp10;OP50
20;27;2;29;0.931034483;3;my316;OP50;BT247;100;2_247_100;exp10;OP50
20;25;2;27;0.925925926;1;my316;OP50;BT247;100;2_247_100;exp10;OP50
28;27;0;27;1;3;my316;MT12;BT247;100;2_247_100;exp10;MT12 (wrinkly)
